#
# Install
#

config is not writeable|Le fichier de configuration n'est pas en &eacute;criture
data/cache is not writeable|Le r&eacute;pertoire data/cache n'est pas en &eacute;criture
data/favicons is not writeable|Le r&eacute;pertoire data/favicons n'est pas en &eacute;criture
data/thumbnails is not writeable|Le r&eacute;pertoire data/thumbnails n'est pas en &eacute;criture
data/logs is not writeable|Le r&eacute;pertoire data/logs n'est pas en &eacute;criture
the Apache Module mod_rewrite is not enabled|Le module Apache mod_rewrite n'est pas charg&eacute;
you need at least php version 5.2.4|La version minimun de PHP est 5.2.4
rsslounge needs the '%s' extension|rsslounge &agrave; besoin de l'extension '%s'
please select a valid language|Merci de choisir une langue valide
please enter an host|Veuillez entrer un serveur
please enter an username|Veuillez entrer un nom d'utilisateur
please enter a database|Veuillez entrer le nom de la base de donn&eacute;es
given passwords not equal|Les mots de passe donn&eacute;s ne sont pas identiques
if you set a password you must set an username|Veuillez entrer un nom d'utilisateur
if you set a username you must set an password|Veuillez entrer un mot de passe
database connection error (ensure that the database exists)|Erreur de connexion &agrave; la base de donn&eacute;es (veuillez v&eacute;rifier que la base existe)
database error|Erreur de base de donn&eacute;es
database error (can't write dump into database)|Erreur de base de donn&eacute;es (Dump ne peux pas &ecirc;tre &eacute;crit dans la base de donn&eacute;es)
Installation successfully. You can now use rsslounge.|Installation finie. Vous pouvez maintenant utiliser rsslounge.
start rsslounge|Allez sur rsslounge
error|Erreur
success|Succ&egrave;s
2. Select a language|2. Choix de la langue
3. Enter database settings|3. Param&egrave;tre de la base de donn&eacute;es
4. Login|4. Connexion
optional: leave the fields clear for no password protection|optionnel: ne rien mettre d&eacute,sactive la protection par mot de passe
Public Access|Acc&egrave;s public
install rsslounge|Installer rssLounge
data/cache writeable|Peux modifier data/cache
data/favicons writeable|Peux modifier data/favicons
data/thumbnails writeable|Peux modifier data/thumbnails
data/logs writeable|Peux modifier data/logs
config writeable|Peux modifier config
Username|Nom d'utilisateur
Password|Mot de passe
again Password|Retapez le mot de passe
Database|Base de donn&eacute;es


#
# Update
#
The current rsslounge database is out of date. Click the button below for updating it.|La base de données rsslounge actuelle est obsolète. Cliquez sur le bouton ci-dessous pour mettre &agrave; jour.



#
# Main Window
#

Error: wrong username or password|Erreur: mauvais nom d'utilisateur ou mot de passe
You have been logged out successfully|Vous vous &ecirc;tes bien deconnect&eacute;
