#
# Install
#

Installation|Instalação
System Check|Verificação do sistema
PHP Version|Versão do PHP:
Host|Servidor:
Prefix|Prefixo da tabela:
config is not writeable|Sem permissão de escrita para config
data/cache is not writeable|Sem permissão de escrita para data/cache
data/favicons is not writeable|Sem permissão de escrita para data/favicons
data/thumbnails is not writeable|Sem permissão de escrita para data/thumbnails
data/logs is not writeable|Sem permissão de escrita para data/logs
the Apache Module mod_rewrite is not enabled|O mod_rewrite não está ativado
you need at least php version 5.2.4|Você precisa no minimo da versão do PHP 5.2.4
rsslounge needs the '%s' extension|rssLounge precisa da extensão '%s'
please select a valid language|Por Favor selecione um idioma válido
please enter an host|Por Favor coloque o endereço do Servidor (Normalmente "localhost")
please enter an username|Por Favor coloque um Nome de Usuário
please enter a database|Por Favor coloque um Banco de dados
given passwords not equal|Senhas não correspondem
if you set a password you must set an username|Se você colocar uma Senha você tem que colocar um Nome de Usuário
database connection error (ensure that the database exists)|Erro ao conectar ao Banco de Dados, Certifique-se de que o Banco de Dados existe
database error|Erro no banco de dados
database error (can't write dump into database)|Erro: não foi possível escrever no banco de dados
Installation successfully. You can now use rsslounge.|Instalação completa. Agora você já pode usar o rssLounge.
start rsslounge|Iniciar o rssLounge
error|Erro
success|Sucesso
2. Select a language|2. Selecione um Idioma
3. Enter database settings|3. Configurações do banco de dados
4. Login|4. Login
optional: leave the fields clear for no password protection|Opcional: deixe em branco para não ter proteção por senha
install rsslounge|Instalar rssLounge
data/cache writeable|Permissão de escrita para data/cache
data/favicons writeable|Permissão de escrita para data/favicons
data/thumbnails writeable|Permissão de escrita para data/thumbnails
data/logs writeable|Permissão de escrita para data/logs
config writeable|Permissão de escrita para config
Username|Nome de Usuário
Password|Senha
again Password|Confirmar Senha
Database|Banco de Dados


#
# Update
#
The current rsslounge database is out of date. Click the button below for updating it.|O banco de dados do rssLounge está desatualizado. Clique no botão abaixo para atualiza-lo.



#
# Main Window
#

Error: wrong username or password|Erro: Nome de Usuário ou Senha Incorretos
Priority|Prioridade
main menue|Menu Principal
Settings|Configurações
Categories|Categorias
Show all Feeds|Mostrar todos os Feeds
Hide all Feeds|Esconder todos os Feeds
Logout|Sair
mark all as read|Marcar Todos como Lidos
unstarr all|Tirar destaque de todos
date|Data
all|Todos
only unread|Apenas não lidos
only images|Apenas Imagens
only messages|Apenas Mensagens
images and messages|Imagens e Mensagens
add new feed|Novo Feed
starred items|Itens em destaque
all items|Todos os Itens
all feeds|Todos os Feeds
edit|Editar
search|Pesquisar
uncategorized|Sem Categoria
an error occured|Ocorreu um erro
remove search|Remover Pesquisa
Search for|Pesquisar por
Errormessages|Mensagens de erro
About|Sobre
This application doesn't support the Internet Explorer. Please install a Gecko or Webkit based or another modern Browser!|Esse Software não prove suporte ao Internet Explorer. Por Favor instale um navegador Moderno, baseado em Gecko ou Webkit!
unread items|Itens Não lidos
read items|Itens lidos
feeds|Feeds
OPML Import|Importar OPML
OPML Export|Exportar OPML


#
# Validation
#

category doesn't exists|Essa Categoria não existe
feed doesn't exists|Esse feed não existe
Value is required and can't be empty|Campo Obrigatório não pode ser deixado em branco
Only alphanummeric values allowed|Apenas valores AlfaNumericos são permitidos
Only digits allowed|Apenas numeros são permitidos
source doesn't exists|Essa Fonte não existe
invalid item id|ID Inválido
Value must be bigger than 0|O Valor precisa ser maior que zero
feed already exists|Esse Feed já existe
Please choose a value between 0 and 2000 days|Por Favor escolha um valor entre 0 e 2000
Please choose a value between 0 and 200 items per page|Por Favor escolha um valor entre 0 e 2000 itens por página


#
# Category edit
#

edit categories|Editar Categoria
delete|Deletar
add category|Nova Categoria


#
# Settings
#

settings|Configurações
top|Acima
bottom|Abaixo
Position of Images|Posição das Imagens
Height of Imagebox|Altura da caixa de imagens
Delete Entries older than|Delete itens mais antigos que
Mark as read on click|Marcar como lido ao clicar
1 row|1 Linha
2 rows|2 Linhas
3 rows|3 Linhas
days|Dia(s)
Only top or bottom allowed|Apenas "Acima" e "Abaixo" são permitidos
Language is not available|Idioma não disponível
Language|Idioma
de|Alemão
en|Inglês
pt|Português
Refresh RSS Feeds every|Atualizar Feeds a cada
minutes|Minuto(s)
Items per Page|Itens por página
Save open Categories|Salvar Categorias abertas
First show unread Items|Mostrar Itens Não lidos Primeiro
Activate login|Ativar Login
Drag this link into your bookmarks bar. Everytime you want to subscribe an open feed, click on this bookmark.|Clique e Arraste esse Link para sua Barra de Favoritos. Todo vez que quiser assinar um Feed aberto, clique neste Favorito.
subscribe feed|Assinar Feed
Entries old than this value will be deleted. Enter 0 for never deleting items.|Itens mais antigos que este valor serão deletados. 0 para nunca deletar itens.


#
# Add/Edit Feed
#

add feed|Novo Feed
edit feed|Editar Feed
Name|Nome
Source|Fonte
Category|Categoria
Choose an Feedtype from the left menue|Escoha um tipo de Feed no menu à esquerda
No feed with given ID found|Nenhum Feed com este ID foi encontrado

Enter an internal name for this feed|Nome Interno para este Feed
Enter the source of this feed|Fonte do Feed
Enter a numeric priority|Nível de prioridade
Optional: enter the url of the favicon|Opcional: Url do Ícone
Optional: enter a regular expression (preg_match), only entries which match this expression will be fetched|Opcional: Expressão Regular (preg_match), apenas itens que casam essa expressão serão mostrados

#
# List of items
#

No valid date given|Conteúdo Inválido
Only true or false allowed|Apenas verdadeiro ou falso permitidos
Only both, multimedia, message allowed|Apenas ambos, multimedia e mensagem permitidos
No items found|Nenhum item encontrado
more|mais
starr|Destacar


#
# opml error
#
opml file parse error|opml file parse error
